,description,number_rates,rating,price,url
0,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Brand - Solimo Kids' Multivitamin, 380 Gummies, 2 Gummies per Serving Count of 2 count (Pack of 1)</span>","(1,300)",4.8,11.88,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A088759618FBO7JJDHL5H&qualifier=1675456051&id=3418791229722889&widgetName=sp_atf&url=%2FAmazon-Brand-Multivitamin-Gummies-Serving%2Fdp%2FB08CP6S9J8%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-1-spons%26psc%3D1
1,"<span class=""a-size-base-plus a-color-base a-text-normal"">Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 150 Count, 150 Day Supply (Pack of 1)</span>","(1,240)",4.7,14.28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A004100630XRPN7K9IQO1&qualifier=1675456051&id=3418791229722889&widgetName=sp_atf&url=%2FCentrum-Multivitamin-Gummies-Tropical-Natural%2Fdp%2FB0B6WQ7NK8%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-2-spons%26psc%3D1
2,"<span class=""a-size-base-plus a-color-base a-text-normal"">Renzo's Picky Eater Kids Multivitamin - Vegan Multivitamin for Kids with Iron, Vitamin C, and Zero Sugar, Dissolvable and Easy To Take Kids Vitamins, Cherry Flavored Childrens Vitamins [60 Melty Tabs]</span>","(4,030)",4.3,25.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05605741AX2P3NKW5V77&qualifier=1675456051&id=3418791229722889&widgetName=sp_atf&url=%2FRenzos-Dissolvable-Vitamins-Cherry-Flavor%2Fdp%2FB06XXQNYXG%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-3-spons%26psc%3D1
3,"<span class=""a-size-base-plus a-color-base a-text-normal"">Flintstones Kids Elderberry Gummies with Immunity Support from Vitamin C and Zinc, Gluten Free, Dietary Supplement, 60 Count</span>",(807),4.7,13.43,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0703012SHYC51XZQ8JM&qualifier=1675456051&id=3418791229722889&widgetName=sp_atf&url=%2FFlintstones-Elderberry-Gummies-Immunity-Supplement%2Fdp%2FB08HGKKVFT%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26rdc%3D1%26sr%3D8-4-spons%26psc%3D1
4,"<span class=""a-size-base-plus a-color-base a-text-normal"">OLLY Kids Multivitamin + Probiotic Gummy, Digestive and Immune Support, Vitamins A, D, C, E, B, Zinc, Chewable Supplement, Berry, 35 Day Supply - 70 Count</span>","(13,553)",4.7,11.99,https://www.amazon.com/gp/bestsellers/hpc/3765511/ref=sr_bs_4_3765511_1
5,"<span class=""a-size-base-plus a-color-base a-text-normal"">L'il Critters Gummy Vites Daily Kids Gummy multivitamin: Vitamins C, D3 and Zinc for Immune Support 190 ct (95-190 day supply), 5 delicious flavors from America’s number one Vitamin Brand</span>","(32,353)",4.7,11.88,https://www.amazon.com/Lil-Critters-Gummy-Complete-Multivitamin/dp/B01613QBL6/ref=sr_1_6?keywords=multivitamin+for+kids&qid=1675456051&sr=8-6
6,"<span class=""a-size-base-plus a-color-base a-text-normal"">MaryRuth's Kids Multivitamin Gummies | Sugar Free | 2 Month Supply | Kid &amp; Toddlers Age 2+ Daily Multivitamin: Vitamin C, D3, Zinc | Kids Vitamins | Only 1 Gummy Per Day | 60 Ct (60 Day Supply)</span>","(10,162)",4.7,23.49,https://www.amazon.com/Vegan-Kids-Multivitamin-Gummies-MaryRuth/dp/B07WMX9N2D/ref=sr_1_7?keywords=multivitamin+for+kids&qid=1675456051&sr=8-7
7,"<span class=""a-size-base-plus a-color-base a-text-normal"">SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/EPA), Vitamin B6, B12, 120 Count (30 Day Supply)</span>","(73,031)",4.6,19.99,https://www.amazon.com/gp/bestsellers/hpc/3774861/ref=sr_bs_7_3774861_1
8,"<span class=""a-size-base-plus a-color-base a-text-normal"">ONE A DAY Kids Trolls Multivitamin Gummy Vitamins A, B6, B12, C, D, E, Zinc, Folic Acid and Biotin (Packaging May Vary), Trolls, 180 Count</span>","(6,115)",4.7,11.99,https://www.amazon.com/Kids-Trolls-Multivitamin-Gummies-Count/dp/B01HDIV58W/ref=sr_1_9?keywords=multivitamin+for+kids&qid=1675456051&rdc=1&sr=8-9
9,"<span class=""a-size-base-plus a-color-base a-text-normal"">Flintstones Gummies Kids Vitamins, Gummy Multivitamin for Kids and Toddlers with Vitamins A, B6, B12, C, E, Zinc &amp; more, 180ct</span>","(8,016)",4.8,13.92,https://www.amazon.com/Flintstones-Childrens-Complete-Multivitamin-Gummies/dp/B00BV47LQA/ref=sr_1_10?keywords=multivitamin+for+kids&qid=1675456051&rdc=1&sr=8-10
